"Year","CITATION","SAMPLE NAME","UNIQUE_ID","LOCATION","ROCK TYPE","AGE (MIN.)","AGE (MAX.)","SIO2(WT%)","TIO2(WT%)","AL2O3(WT%)","FE2O3(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","K2O(WT%)","P2O5(WT%)",
"2008"," [12604] ROUCHON V. (2008)","samp. KG5","","WEST AUSTRALIAN CRATON / PILBARA CRATON / PILBARA SUPERGROUP / WARRAWOONA GROUP - KITTYS GAP CHERT","SEDIMENTARY ROCK","3300000000","3400000000","92.36","0.28","5.51","","0","0","0","1.59","0",
"2008"," [12604] ROUCHON V. (2008)","samp. KG6","","WEST AUSTRALIAN CRATON / PILBARA CRATON / PILBARA SUPERGROUP / WARRAWOONA GROUP - KITTYS GAP CHERT","SEDIMENTARY ROCK","3300000000","3400000000","96.28","0.09","2.63","","0","0","0","0.78","0",
"2008"," [12604] ROUCHON V. (2008)","samp. KG7","","WEST AUSTRALIAN CRATON / PILBARA CRATON / PILBARA SUPERGROUP / WARRAWOONA GROUP - KITTYS GAP CHERT","SEDIMENTARY ROCK","3300000000","3400000000","96.3","0.1","2.57","","0","0","0","0.79","0",
"2008"," [12604] ROUCHON V. (2008)","samp. KG8","","WEST AUSTRALIAN CRATON / PILBARA CRATON / PILBARA SUPERGROUP / WARRAWOONA GROUP - KITTYS GAP CHERT","SEDIMENTARY ROCK","3300000000","3400000000","94.62","0.13","3.78","","0","0","0","1.19","0",
"2008"," [12604] ROUCHON V. (2008)","samp. KG9","","WEST AUSTRALIAN CRATON / PILBARA CRATON / PILBARA SUPERGROUP / WARRAWOONA GROUP - KITTYS GAP CHERT","SEDIMENTARY ROCK","3300000000","3400000000","91.7","0.29","5.99","","0","0","0","1.74","0",
"1998"," [14132] KIYOKAWA S. (1998)","samp. 1028-01","","WEST AUSTRALIAN CRATON / PILBARA CRATON / PILBARA SUPERGROUP / GORGE CREEK GROUP - CLEAVERVILLE FORMATION","SEDIMENTARY ROCK","","","3.27","","6.73","","0.45","","","","",
"1998"," [14132] KIYOKAWA S. (1998)","samp. 0911-8","","WEST AUSTRALIAN CRATON / PILBARA CRATON / PILBARA SUPERGROUP / GORGE CREEK GROUP - CLEAVERVILLE FORMATION","SEDIMENTARY ROCK","","","92.7","","","","","0.24","","","",
"1998"," [14132] KIYOKAWA S. (1998)","samp. 0913-04","","WEST AUSTRALIAN CRATON / PILBARA CRATON / PILBARA SUPERGROUP / GORGE CREEK GROUP - CLEAVERVILLE FORMATION","SEDIMENTARY ROCK","","","37.42","","31.62","","0.21","6.56","0.32","","",
"1998"," [14132] KIYOKAWA S. (1998)","samp. 1103-07","","WEST AUSTRALIAN CRATON / PILBARA CRATON / PILBARA SUPERGROUP / GORGE CREEK GROUP - CLEAVERVILLE FORMATION","SEDIMENTARY ROCK","","","64.94","0.95","12.81","","","","","0.63","",
"1998"," [14132] KIYOKAWA S. (1998)","samp. 0913-06","","WEST AUSTRALIAN CRATON / PILBARA CRATON / PILBARA SUPERGROUP / GORGE CREEK GROUP - CLEAVERVILLE FORMATION","SEDIMENTARY ROCK","","","0.89","","0.42","","0.23","","","","4.53",
"1998"," [14132] KIYOKAWA S. (1998)","samp. 0925-07","","WEST AUSTRALIAN CRATON / PILBARA CRATON / PILBARA SUPERGROUP / GORGE CREEK GROUP - CLEAVERVILLE FORMATION","SEDIMENTARY ROCK","","","99.76","","0.21","","","","","","",
"2010"," [18955] TESSALINA S. (2010)","samp. PDP2C/92.5","","WEST AUSTRALIAN CRATON / PILBARA CRATON / PILBARA SUPERGROUP / WARRAWOONA GROUP - DRESSER FORMATION","SEDIMENTARY ROCK","3490000000","3490000000","90.9","","0.04","","2.22","0.69","0.11","","",
"2010"," [18955] TESSALINA S. (2010)","samp. PDP2C/111.9","","WEST AUSTRALIAN CRATON / PILBARA CRATON / PILBARA SUPERGROUP / WARRAWOONA GROUP - DRESSER FORMATION","SEDIMENTARY ROCK","3490000000","3490000000","97.3","0.04","1","","0.07","0.03","0.003","0.15","",
"2010"," [18955] TESSALINA S. (2010)","samp. PI 06-17 ","","WEST AUSTRALIAN CRATON / PILBARA CRATON / PILBARA SUPERGROUP / WARRAWOONA GROUP - DRESSER FORMATION","SEDIMENTARY ROCK","3490000000","3490000000","96.7","0.1","0.6","","0.21","0.12","0.02","0.12","",
"2010"," [18955] TESSALINA S. (2010)","samp. PI 06-22 ","","WEST AUSTRALIAN CRATON / PILBARA CRATON / PILBARA SUPERGROUP / WARRAWOONA GROUP - DRESSER FORMATION","SEDIMENTARY ROCK","3490000000","3490000000","97.6","0.03","0.8","","0.08","0.08","0.01","0.12","",
"2020"," [28610] TUSCH J. (2020)","samp. PIL 16-62B","","WEST AUSTRALIAN CRATON / PILBARA CRATON / PILBARA SUPERGROUP / WARRAWOONA GROUP - COONGAN SUBGROUP/DUFFER FORMATI","SEDIMENTARY ROCK","3461000000","3471000000","73.44748","0.00362","0.36787","","0.10454","0.05039","0.00693","0.00322","0.04584",
"2020"," [28610] TUSCH J. (2020)","samp. PIL 16-50B","","WEST AUSTRALIAN CRATON / PILBARA CRATON / PILBARA SUPERGROUP / SOANESVILLE GROUP - PADDY MARKET FORMATION","SEDIMENTARY ROCK","3190000000","3190000000","55.42816","0.74358","25.65662","","0.04631","0.96785","0.02091","5.72394","0.0439",
"2020"," [28610] TUSCH J. (2020)","samp. PIL 16-38B","","WEST AUSTRALIAN CRATON / PILBARA CRATON / PILBARA SUPERGROUP / FORTESCUE GROUP - HARDEY FORMATION","SEDIMENTARY ROCK","2756000000","2766000000","57.97628","0.72918","23.14385","","0.17303","2.61868","0.02324","3.50703","0.04577",

Download from GEOROC - Geochemical Database
Date of Query: Monday, November 17, 2025
Please note: There is a List of your Query Criteria at the End of this Sheet.


References:
"[5843] CULLERS R. L., DIMARCO M. J., LOWE D. R., STONE J.:   GEOCHEMISTRY OF A SILICIFIED, FELSIC VOLCANICLASTIC SUITE FROM THE EARLY ARCHEAN PANORAMA FORMATION, PILBARA BLOCK, WESTERN AUSTRALIA: AN EVALUATION OF DEPOSITIONAL AND POST-DEPOSITIONAL PROCESSES WITH SPECIAL EMPHASIS ON THE RARE-EARTH ELEMENTS |  PREC. RESEARCH 60    [1993]  99-116  | doi: 10.1016/0301-9268(93)90046-5"
"[8680] BLAKE T. S., BUICK R., BROWN S. J. A., BARLEY M. E.:   GEOCHRONOLOGY OF A LATE ARCHAEAN FLOOD BASALT PROVINCE IN THE PILBARA CRATON, AUSTRALIA: CONSTRAINTS ON BASIN EVOLUTION, VOLCANIC AND SEDIMENTARY ACCUMULATION, AND CONTINENTAL DRIFT RATES |  PREC. RESEARCH 133    [2004]  143-173  | doi: 10.1016/j.precamres.2004.03.012"
"[8690] YAMAMOTO KOSHI, ITOH N., MATSUMOTO TAKUYA, TANAKA TSUYOSHI, ADACHI M.:   GEOCHEMISTRY OF PRECAMBRIAN CARBONATE INTERCALATED IN PILLOWS AND ITS HOST BASALT: IMPLICATIONS FOR THE REE COMPOSITION OF CIRCA 3.4 GA SEAWATER |  PREC. RESEARCH 135    [2004]  331-334  | GeoReM-id: 1523 | doi: 10.1016/j.precamres.2004.09.006"
"[12604] ROUCHON V., ORBERGER B.:   ORIGIN AND MECHANISMS OF K-SI-METASOMATISM OF CA. 3.4-3.3 GA VOLCANICLASTIC DEPOSITS AND IMPLICATIONS FOR ARCHEAN SEAWATER EVOLUTION: EXAMPLES FROM CHERTS OF KITTYS GAP (PILBARA CRATON, AUSTRALIA) AND MSAULI (BARBERTON GREENSTONE BELT, SOUTH AFRICA) |  PREC. RESEARCH 165    [2008]  169-189  | doi: 10.1016/j.precamres.2008.06.003"
"[14132] KIYOKAWA S., TAIRA A.:   THE CLEAVERVILLE GROUP IN THE WEST PILBARA COASTAL GRANITOID-GREENSTONE TERRAIN OF WESTERN AUSTRALIA: AN EXAMPLE OF A MID-ARCHAEAN IMMATURE OCEANIC ISLAND-ARC SUCCESSION |  PREC. RESEARCH 88    [1998]  109-142  | doi: 10.1016/S0301-9268(97)00066-1"
"[18955] TESSALINA S., BOURDON B., VAN KRANENDONK M. V., BIRCK J.-L., PHILIPPOT P.:   INFLUENCE OF HADEAN CRUST EVIDENT IN BASALTS AND CHERTS FROM THE PILBARA CRATON |  NATURE GEOSCIENCE 3    [2010]   | doi: 10.1038/ngeo772"
"[28610] TUSCH J., MÜNKER C., HASENSTAB E., JANSEN M. W., MARIEN C. S., KURZWEIL F., VAN KRANENDONK M. J., SMITHIES R. H., MAIER W. D., GARBE-SCHÖNBERG D.:   CONVECTIVE ISOLATION OF HADEAN MANTLE RESERVOIRS THROUGH ARCHEAN TIME |  PROC. NATL. ACAD. SCI. USA 118 (E2012626118)   [2020]   | doi: 10.1073/pnas.2012626118"

Criteria:
QUERY - BY - GEOLOGICAL - SETTING: - ARCHEAN - CRATONS - (INCLUDING - GREENSTONE - BELTS) - - - WEST - AUSTRALIAN - CRATON - - - PILBARA - CRATON;AUSTRALIA - - - NO - FURTHER - CONSTRAINT - - - SAMPLE - CRITERIA - (COMBINED - WITH - AND): - - - ROCK - TYPE: - SEDIMENTARY - ROCK - - - ITEMS: - AL2O3,CAO,FE2O3,K2O,MGO,MNO,P2O5,SIO2,TIO2 - (WITHOUT - ANALYTICAL - DATA) - - - METADATA: - LOCATION, - ROCK_TYPE, - AGE_MIN, - AGE_MAX - 
