"Year","CITATION","SAMPLE NAME","UNIQUE_ID","LOCATION","ROCK TYPE","AGE (MIN.)","AGE (MAX.)","SIO2(WT%)","TIO2(WT%)","AL2O3(WT%)","FE2O3(WT%)","FEO(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","K2O(WT%)","P2O5(WT%)",
"2018"," [22156] WUDARSKA A. (2018)","samp. AL10–1","","NORTH ATLANTIC CRATON_ARCHEAN / ISUA GREENSTONE BELT / EASTERN ISUA TECTONIC DOMAIN","SEDIMENTARY ROCK","","","0.507","","","","","54.68","","","","40.908",
"2018"," [22156] WUDARSKA A. (2018)","samp. AL10–1","","NORTH ATLANTIC CRATON_ARCHEAN / ISUA GREENSTONE BELT / EASTERN ISUA TECTONIC DOMAIN","SEDIMENTARY ROCK","","","0.108","","","","","55.071","","","","42.273",
"2018"," [22156] WUDARSKA A. (2018)","samp. AL10–1","","NORTH ATLANTIC CRATON_ARCHEAN / ISUA GREENSTONE BELT / EASTERN ISUA TECTONIC DOMAIN","SEDIMENTARY ROCK","","","0.156","","","","","55.386","","","","41.906",
"2018"," [22156] WUDARSKA A. (2018)","samp. AL10–1","","NORTH ATLANTIC CRATON_ARCHEAN / ISUA GREENSTONE BELT / EASTERN ISUA TECTONIC DOMAIN","SEDIMENTARY ROCK","","","0.188","","","","","54.235","","","","39.921",
"2018"," [22156] WUDARSKA A. (2018)","samp. AL10–1","","NORTH ATLANTIC CRATON_ARCHEAN / ISUA GREENSTONE BELT / EASTERN ISUA TECTONIC DOMAIN","SEDIMENTARY ROCK","","","0.542","","","","","54.077","","","","40.446",
"2018"," [22156] WUDARSKA A. (2018)","samp. AL10–1","","NORTH ATLANTIC CRATON_ARCHEAN / ISUA GREENSTONE BELT / EASTERN ISUA TECTONIC DOMAIN","SEDIMENTARY ROCK","","","0.205","","","","","55.045","","","","42.52",
"2018"," [22156] WUDARSKA A. (2018)","samp. AL10–1","","NORTH ATLANTIC CRATON_ARCHEAN / ISUA GREENSTONE BELT / EASTERN ISUA TECTONIC DOMAIN","SEDIMENTARY ROCK","","","0.295","","","","","54.263","","","","40.643",
"2018"," [22156] WUDARSKA A. (2018)","samp. AL10–1","","NORTH ATLANTIC CRATON_ARCHEAN / ISUA GREENSTONE BELT / EASTERN ISUA TECTONIC DOMAIN","SEDIMENTARY ROCK","","","0.395","","","","","54.153","","","","40.342",
"2018"," [22156] WUDARSKA A. (2018)","samp. AL10–1","","NORTH ATLANTIC CRATON_ARCHEAN / ISUA GREENSTONE BELT / EASTERN ISUA TECTONIC DOMAIN","SEDIMENTARY ROCK","","","0.442","","","","","54.678","","","","40.539",
"2018"," [22156] WUDARSKA A. (2018)","samp. AL10–1","","NORTH ATLANTIC CRATON_ARCHEAN / ISUA GREENSTONE BELT / EASTERN ISUA TECTONIC DOMAIN","SEDIMENTARY ROCK","","","0.417","","","","","54.373","","0.176","","40.972",
